	citrus	floral	fruity	woody	oriental	musk	aromatic	water	mossy	green
0	66.7	22.2	11.1	0	0	0	0	0	0	0
1	66.7	11.1	11.1	11.1	0	0	0	0	0	0
2	66.7	0	11.1	0	11.1	11.1	0	0	0	0
3	77.8	11.1	11.1	0	0	0	0	0	0	0
4	0	55.6	22.2	0	22.2	0	0	0	0	0
5	0	57.1	28.6	0	0	0	14.3	0	0	0
6	0	25	37.5	0	0	0	37.5	0	0	0
7	0	37.5	25	0	0	12.5	12.5	0	12.5	0
8	0	11.1	0	0	0	11.1	0	77.8	0	0
9	0	11.1	0	0	0	0	0	66.7	22.2	0
10	22.2	22.2	11.1	0	0	0	0	0	0	44.4
11	44.4	11.1	11.1	0	0	0	0	0	11.1	22.2
12	0	50	0	12.5	0	12.5	0	25	0	0
13	0	0	0	0	0	33.3	0	16.7	16.7	33.3
14	0	0	16.7	50	16.7	0	0	0	0	16.7
15	40	0	20	20	0	0	0	0	20	0
16	0	0	25	50	25	0	0	0	0	0
17	0	28.6	0	42.9	0	0	0	14.3	14.3	0
18	0	25	0	0	25	50	0	0	0	0
19	0	0	0	0	0	0	0	100	0	0
20	0	0	0	0	0	0	0	87.5	12.5	0
21	16.7	0	33.3	0	33.3	0	0	16.7	0	0
22	20	0	60	0	0	0	0	0	0	0
23	0	0	20	40	0	20	20	0	0	0
24	0	16.7	33.3	0	0	16.7	16.7	0	0	0
25	0	28.6	0	0	71.4	0	0	0	0	0
26	14.3	28.6	0	0	42.9	14.3	0	0	0	0
27	14.3	0	0	71.4	0	0	0	0	0	14.3
28	14.3	0	0	71.4	0	0	0	0	0	14.3
29	28.6	0	0	28.6	14.3	0	0	0	14.3	14.3
30	33.3	0	0	66.7	0	0	0	0	0	0
31	0	100	0	0	0	0	0	0	0	0
32	0	33.3	50	0	16.7	0	0	0	0	0
33	0	40	0	60	0	0	0	0	0	0
34	0	0	0	66.7	16.7	16.7	0	0	0	0
35	0	16.7	0	16.7	16.7	0	0	0	0	50
36	0	16.7	0	66.7	16.7	0	0	0	0	0
37	0	85.7	0	0	0	0	0	0	0	14.3
38	0	100	0	0	0	0	0	0	0	0
39	33.3	16.7	0	16.7	0	0	0	16.7	0	16.7
40	0	0	0	0	0	20	0	40	20	20
